Job Title,Company,Location,Salary,Description,URL
Python Flask Developer,Beacon Coders,"Delhi, Delhi","₹15,000 - ₹30,000 a month","Are you a Flask Developer who is skilled in writing Python code and specialises in the Flask framework?`Our organisation is seeking a skilled Flask Developer who is competent at writing Python code and has the knowledge to design and implement code using the Flask framework. This role has the expectation that you will write modular, performant and clean code when creating web applications. You will also need the skills and knowledge to write unit testing with Python libraries to verify all the functionality of the application is correct. Furthermore, as you will be interacting with other developers and stakeholders regularly, it’s imperative that you have effective communication.`.`As a Flask Developer at our company, you will:`Collaborate with other developers.`Design and implement web applications which utilise the Flask framework .`Write a wide variety of unit tests to ensure the code is meeting the software design requirements.`Ensure the Python code is written to a high standard.`Refactor old Python and Flask code to ensure it follows modern principles and ways of implementation.`Liaise with stakeholders to understand the requirements of web application.`Ensure both front and back code is operating as expected.`Write clear and concise documentation of the intention behind code.`Identify and fix code where bugs have been identified.`Job Types: Full-time, Part-time, Regular / Permanent, Contractual / Temporary, Freelance`Contract length: 12 months`Part-time hours: 50 per week`Pay: ₹15,000.00 - ₹30,000.00 per month`Schedule:`Day shift`Evening shift`Flexible shift`Morning shift`Night shift`Supplemental pay types:`Overtime pay`Performance bonus`Education:`Bachelor's (Preferred)`Experience:`Python: 2 years (Preferred)`Flask: 1 year (Preferred)`Speak with the employer`+91 8288979105",https://in.indeed.com/company/Beacon-Coders/jobs/Python-Developer-d07b35fa2addcb0f?fccid=6c0c9679944a0409&vjs=3
Python Developer,Aynsoft,"Delhi, Delhi",,"We are seeking a highly skilled Python Developer to join our dynamic team. The ideal candidate will be responsible for developing and maintaining high-quality software applications using Python programming language. The candidate will also be responsible for collaborating with cross-functional teams to identify, design, and implement software solutions that meet the needs of the business.`Responsibilities:`Develop and maintain high-quality software applications using Python programming language.`Collaborate with cross-functional teams to identify, design, and implement software solutions.`Design and develop scalable and maintainable software applications.`Troubleshoot and debug applications to optimize performance.`Write clean, modular, and well-documented code.`Develop automated tests and ensure the quality of software applications.`Participate in code reviews and provide constructive feedback.`Keep up to date with emerging trends and technologies in software development.`Requirements`Bachelor’s degree in Computer Science or a related field.`Proven experience as a Python Developer.`Strong knowledge of Python programming language and its frameworks (Django, Flask, etc.).`Experience with web development technologies (HTML, CSS, JavaScript, etc.).`Familiarity with database technologies (MySQL, PostgreSQL, etc.).`Understanding of software development principles and design patterns.`Strong analytical and problem-solving skills.`Excellent written and verbal communication skills.`Ability to work independently and in a team environment.`Strong attention to detail.`If you are a passionate Python Developer who enjoys working in a fast-paced environment and wants to contribute to the success of our organization, we encourage you to apply.`Please send your resume to – hr@aynsoft.com`Related",https://in.indeed.com/rc/clk?jk=2925bcb0653659eb&fccid=6d67b75459b0001c&vjs=3
Web Developer- Python,ADVENTURE SPORTS COVER360,"Remote in Delhi, Delhi","₹45,000 - ₹50,000 a month","Python Full-Stack Web Developer`Vision`The vision of Adventure Sports Cover 360 is to empower people to pursue their passion for adventure sports and activities with peace of mind, knowing they are protected by reliable insurance and supported by emergency services. Our aim is to be the leading provider of adventure sports covers, offering comprehensive coverage and exceptional customer service to our clients. We envision a world where people can fully immerse themselves in the thrill of adventure sports. Our goal is to make adventure sports accessible to everyone, from beginners to seasoned adventurers, by providing them with the support they need to pursue their passions safely and confidently.`Experience in web development`· Excellent knowledge of Backend and Frontend.`Backend - Python, Django Framework.`Frontend - Expert at javascript, jQuery, and good knowledge of React.JS, and overall web ecosystem.`· Database - PostgreSQL, Django ORM`· Proficiency in CSS and a good understanding of responsive layouts`· Decent knowledge of chrome developer tools.`· Experience in software engineering best practices and design principles`· Capable of handling web service integration - RESTful, JSON, Django RestAPIs`· A focus and passion for UI & UX to make applications exciting for the user`· Proactive towards debugging & optimizing the codebase`· Rapid prototyping skills for getting product feedback`· Understanding of product development lifecycle`· Experience with cloud deployment like AWS, AZURE, Heroku, etc.`Job Types: Full-time, Regular / Permanent`Salary: ₹45,000.00 - ₹50,000.00 per month`Benefits:`Flexible schedule`Work from home`Schedule:`Day shift`Education:`Bachelor's (Preferred)`Experience:`IT: 2 years (Required)`Expected Start Date: 24/04/2023",https://in.indeed.com/company/ADVENTURE-SPORTS-COVER360/jobs/Web-Developer-8d46cce26de4c75f?fccid=104b08b67090fc9a&vjs=3
Python Developer,Aartas CliniShare,"Mumbai, Maharashtra","₹6,00,000 - ₹8,00,000 a year","We are a healthcare company, looking for a Python Developer to join our Tech team and help us develop and maintain various software products.`Python Developer responsibilities include writing and testing code, debugging programs and integrating applications. To be successful in this role, you should have experience using server-side logic and work well in a team.`Ultimately, you’ll build highly responsive applications that align with our business needs.`Responsibilities`Write effective, scalable code`Develop back-end components to improve responsiveness and overall performance`Integrate user-facing elements into applications`Test and debug programs`Improve functionality of existing systems`Implement security and data protection solutions`Assess and prioritize feature requests`Coordinate with internal teams to understand user requirements and provide technical solutions`Requirements and skills`Minimum 2 years of Work experience as a Python Developer`Knowledge of object-relational mapping (ORM)`Familiarity with front-end technologies (like JavaScript and HTML5)`Team spirit`Good problem-solving skills`BSc in Computer Science, Engineering or relevant field.`Job Type: Full-time`Salary: ₹600,000.00 - ₹800,000.00 per year`Benefits:`Provident Fund`Schedule:`Flexible shift`Ability to commute/relocate:`Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Experience:`Python: 1 year (Preferred)`total work: 1 year (Preferred)`Speak with the employer`+91 9987101143",https://in.indeed.com/company/Aartas-CliniShare/jobs/Python-Developer-545102cb041c2383?fccid=bbfacd0e4edd894c&vjs=3
Python Developer,TheHRsoft,"Remote in Mumbai, Maharashtra","₹6,87,646 - ₹25,69,713 a year","Expert in Python, with knowledge of Django Web Framework, Django rest Framework, SQL`Familiarity with some ORM (Object Relational Mapper) libraries.`Knowledge of user authentication and authorization between multiple systems, servers, and environments.`Familiarity with event-driven programming in Python.`Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.`Developing back-end components to improve responsiveness and overall performance`Integrating user-facing elements into applications`Design and implementation of low-latency, high-availability, and performant applications`Integration of user-facing elements developed by front-end developers with server-side logic`Implementation of security and data protection`Job Type: Full-time`Salary: ₹687,646.39 - ₹2,569,713.36 per year`Benefits:`Food provided`Health insurance`Life insurance`Paid sick time`Paid time off`Work from home`Schedule:`Day shift`Supplemental pay types:`Yearly bonus`Ability to commute/relocate:`Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Experience:`Python: 1 year (Preferred)`total work: 1 year (Preferred)``Health insurance",https://in.indeed.com/company/TheHRsoft/jobs/Python-Developer-38cb015aac9df08c?fccid=5a5e71e1480dc662&vjs=3
Python Developer,KG Information System Private Limited ( KGiSL),"Mumbai, Maharashtra","₹9,00,000 - ₹17,00,000 a year","Technologies : Python, Flask, Database, AWS, Jenkins, CI/CD`Proficiency in Python web application, RESTFul APIs, System Designing`Job Types: Full-time, Regular / Permanent`Salary: ₹900,000.00 - ₹1,700,000.00 per year`Benefits:`Health insurance`Life insurance`Paid sick time`Paid time off`Provident Fund`Schedule:`Day shift`Flexible shift`Monday to Friday`Morning shift`Supplemental pay types:`Performance bonus`Yearly bonus``Health insurance",https://in.indeed.com/company/KG-Information-System-Private-Limited-(-KGiSL)/jobs/Python-Developer-7e1b98f53fe207bd?fccid=4212d9f7a416ee45&vjs=3
Python Develope,Triedge Solution,"Mumbai, Maharashtra","₹20,000 - ₹40,000 a month","Position : Python Develope`Location: Mumbai`Salary : 20000 -40000/Monthly`Job role:`Writing effective, scalable code`Developing back-end components to improve responsiveness and overall performance`Integrating user-facing elements into applications`Write effective, scalable code`Develop back-end components to improve responsiveness and overall performance`Integrate user-facing elements into applications`Test and debug programs`Improve functionality of existing systems`Implement security and data protection solutions`Assess and prioritize feature requests`Coordinate with internal teams to understand user requirements and provide technical solutions`Requirements and skills`Work experience as a Python Developer`Expertise in at least one popular Python framework (like Django, Flask or Pyramid)`Knowledge of object-relational mapping (ORM)`Familiarity with front-end technologies (like JavaScript and HTML5)`Team spirit`Good problem-solving skills`Job Type: Full-time`Salary: ₹20,000.00 - ₹40,000.00 per month`Benefits:`Health insurance`Schedule:`Day shift`Supplemental pay types:`Performance bonus`Ability to commute/relocate:`Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Experience:`Python (Preferred)`total work (Preferred)``Health insurance",https://in.indeed.com/company/Triedge-Solution/jobs/Python-Developer-b24ff63dd1962be3?fccid=ce43501b6fd5a462&vjs=3
Jr. Python Developer,OASISSERVE DESIGN SERVICES PVT LTD,"Mumbai, Maharashtra","₹10,000 - ₹35,000 a month","Looking for python developers / programmers with 1 to 4 yrs of experience.`Job Types: Full-time, Regular / Permanent`Salary: ₹10,000.00 - ₹35,000.00 per month`Benefits:`Health insurance`Provident Fund`Schedule:`Day shift`Fixed shift`Morning shift`Ability to commute/relocate:`Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)`Application Question(s):`how much experience do you have in python development / programming / coding?`Experience:`total work: 1 year (Required)`Language:`English / Marathi / Hindi (Required)`Application Deadline: 02/05/2023`Expected Start Date: 02/05/2023``Health insurance",https://in.indeed.com/company/OASISSERVE-DESIGN-SERVICES-PVT-LTD/jobs/Junior-Python-Developer-0cd0106d266d4d32?fccid=2c33cc324090220c&vjs=3
Junior Python Developer,Intech Online Pvt Ltd,"Mumbai, Maharashtra","Up to ₹20,000 a month","Job Description for Python Developer Description`We are looking for a Python Developer responsible for managing back-end services and the interchange of data between the server and the frontend. Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by you or your co-workers into the application. Therefore, a basic understanding of front-end technologies is necessary as well.`Key skills Required :`- Python 3 (Core Python)`- Database SQL/NoSQL`- Experience using Web Frameworks like Flask, Django, FastAPI`- Deploying application on AWS, Azure, GCP cloud services.`- Good Knowledge of containerizing application using Docker and Kubernetes`- Proficient in Microservices, Serverless, REST API etc`- Shell Scripting`- Networking fundamentals and protocols.`- Javascript (Vanilla JS, Bootstrap, React JS)`Education :- UG: Any Graduate - Any Specialization/B.E. - Any Specialization.`Candidate should be well versed with the following :-`Experience with Python`Good Knowledge of HTML, CSS, AJAX, JQUERY.`Good hands on Web services, API building and deploying apps.`Should have strong analytical and problem solving skills.`Job Types: Full-time, Contractual / Temporary`Contract length: 12 months`Salary: ₹10,000.00 - ₹20,000.00 per month`Schedule: Day shift`Ability to commute/relocate: Thane, Maharashtra: Reliably commute or planning to relocate before starting work (Preferred)`Job Type: Contractual / Temporary`Contract length: 12 months`Salary: Up to ₹20,000.00 per month`Schedule:`Day shift`Experience:`Python: 1 year (Required)`APIs: 1 year (Preferred)`Linux: 1 year (Preferred)`Speak with the employer`+91 8433946656",https://in.indeed.com/company/Facts-Pvt.-Ltd./jobs/Junior-Python-Developer-20ea082aee17b5e6?fccid=4f24ab9962a2255e&vjs=3
Software Developer / Bioinformatician.,Sanskruti Solutions,"Powai, Mumbai, Maharashtra","₹30,000 - ₹83,333 a month","Opportunity with an esteemed client company of Sanskruti Solutions (Bio-IT Company)`Position: Software Developer / Bioinformatician / Bioinformatics Developer`Job Location: Wakad (Pune) / Powai (Mumbai)`Open For: Both Male / Female Candidates possessing requisite skills and experience as desired by us as highlighted below.`Job Summary:`We are seeking a highly motivated and skilled Software Developer / Bioinformatician / Bioinformatics Developer to join our team. The successful candidate will have strong programming skills in either Python or R and should have some open source code available for review on platforms such as Github, etc. The Software Developer / Bioinformatician / Bioinformatician Developer will be responsible for developing novel bioinformatics tools and maintaining existing ones to improve our NGS pipeline as well as collaborating with the rest of the team to integrate these tools into multiple projects. Some experience with NGS analysis is desirable but not required.`Key Responsibilities:`Develop and maintain novel bioinformatics tools to improve our NGS pipeline.`Actively enhance our NGS pipelines using publically available tools and databases.`Collaborate with the rest of the team to integrate these tools into our research projects.`Analyze and interpret data and contribute to the writing and reporting of research findings.`Contribute to the development and maintenance of our in-house bioinformatics infrastructure.`Qualifications:`Strong programming skills in either Python or R.`Some experience in DNA-seq analysis.`Some open source code available for review on platforms such as Github.`Comfortable working in a Unix environment, working with tools like Docker and writing shell scripts.`Strong understanding of best practices in software development.`Strong problem-solving skills and attention to detail.`Good communication skills, both written and verbal.`A degree in bioinformatics, computer science or a related field is preferred, but not required.`Job Types: Full-time, Regular / Permanent`Salary: ₹30,000.00 - ₹83,333.00 per month`Benefits:`Flexible schedule`Health insurance`Schedule:`Day shift`Fixed shift`Flexible shift`Monday to Friday`Supplemental pay types:`Performance bonus`Application Question(s):`Have you read the job description before sharing your application?`What is your academic background?`Where are you currently based in India?`The job responded to by you is either based at Powai (Mumbai) or at Wakad (Pune), which city would you be comfortable with as your work location, in case you are not a local candidate and you have to relocate?`How many years of work experience do you have so far?`How many years of experience do you have using multi-omics data analysis and using public omics repositories (eg. TCGA, GEO, CCLE, DeepMap, etc.)?`How many years of experience do you have doing coding either in R or Python?`Do you have some open source code available for review on platforms such as GitHub?`Do you have any experience in building bioinformatics tools?`Do you have experience with NGS data, if yes for how many years?`Do you have experience in DNA sequencing analysis, if yes for how many years?`Do you have experience working in the Unix environment, working with tools like Docker & writing shell scripts?`Specify the reason for job change now, Current CTC, Expected CTC, Notice Period details:`Career Goal in life plus any further plans of higher studies:`Any other job offer in hand now (provide its details without revealing company name):`Speak with the employer`+91 8554860181``Health insurance",https://in.indeed.com/company/Sanskruti-Solutions/jobs/Software-Engineer-61627609743f18cb?fccid=81dd559b9c7b9fa5&vjs=3
Backend Developer,Episeio business solutions,"Mumbai, Maharashtra","Up to ₹7,00,000 a year","Experience in back-end developer`Skills- Python, Flask , API`Job Type: Full-time`Salary: Up to ₹700,000.00 per year`Schedule:`Day shift`Ability to commute/relocate:`Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Preferred)`Application Question(s):`immediate joiner`Experience:`Rest API: 1 year (Preferred)`Back-end development: 1 year (Preferred)`Python: 1 year (Preferred)`Speak with the employer`+91 9619352708",https://in.indeed.com/company/Episeio-Business-Solutions/jobs/Back-End-Developer-cb05dfcf063080e0?fccid=c2b0e32833b86479&vjs=3
